County  ,Municipality  ,LD  ,CD  ,Residential 2013,Residential 2014,Residential 2015,Residential 2016,Residential 2017,COO 2013,COO 2014,COO 2015,COO 2016,COO 2017,Med Rent 2013,Med Rent  2014,Med Rent  2015,Med Rent  2016,Med Rent  2017,Res. Prop Value 2013,Res. Prop Value 2014,Res. Prop Value 2015,Res. Prop Value 2016,Res. Prop Value 2017,Occ % 2013,Occ %  2014,Occ %  2015,Occ %  2016,Occ %  2017,OwnOcc 2013,OwnOcc  2014,OwnOcc  2015,OwnOcc  2016,OwnOcc  2017
Ocean,Bay Head,10,4,1,0,0,-,-,1,1,0,-,-,"1,607","1,697","1,685",-,-,"1,498,988","1,562,736","1,508,464","1,473,630","1,473,630",44.87,44.87,44.87,44.87,44.87,86.27,86.27,86.27,86.27,86.27
Gloucester,Harrison Twp,5,2,59,51,17,-,-,68,52,34,-,-,942,908,947,-,-,"318,508","325,210","330,850","338,101","338,101",96.4,96.4,96.4,96.4,96.4,89.6,89.6,89.6,89.6,89.6
Mercer,Hopewell Twp,15,12,6,19,15,-,-,1,60,8,-,-,"1,637","1,517","1,548",-,-,"459,109","467,204","476,398","490,347","490,347",95.89,95.89,95.89,95.89,95.89,92.01,92.01,92.01,92.01,92.01
Gloucester,Greenwich,3,1,1,2,2,-,-,3,1,2,-,-,"1,037","1,139","1,065",-,-,"176,509","162,921","167,936","166,451","166,451",95.02,95.02,95.02,95.02,95.02,82.89,82.89,82.89,82.89,82.89
Ocean,Beach Haven,9,2,37,36,31,-,-,12,38,27,-,-,"1,110","1,167","1,258",-,-,"785,124","793,531","809,877","813,452","813,452",19.91,19.91,19.91,19.91,19.91,73.63,73.63,73.63,73.63,73.63
Mercer,Hopewell,15,12,0,2,1,-,-,0,0,2,-,-,"1,424","1,516","1,386",-,-,"394,596","397,564","408,361","404,440","404,440",95.23,95.23,95.23,95.23,95.23,74.29,74.29,74.29,74.29,74.29
Mercer,Hamilton,14,4,101,141,26,-,-,32,44,51,-,-,"1,095","1,100","1,100",-,-,"218,785","225,049","220,548","218,471","218,471",95.48,95.48,95.48,95.48,95.48,75.38,75.38,75.38,75.38,75.38
Gloucester,Franklin Twp,3,2,26,10,7,-,-,24,8,9,-,-,"1,176","1,299","1,258",-,-,"192,353","194,651","194,964","196,047","196,047",95.82,95.82,95.82,95.82,95.82,89.57,89.57,89.57,89.57,89.57
Mercer,East Windsor,14,12,15,3,73,-,-,60,4,0,-,-,"1,168","1,178","1,205",-,-,"253,640","256,474","253,705","261,386","261,386",94.22,94.22,94.22,94.22,94.22,69.38,69.38,69.38,69.38,69.38
Gloucester,East Greenwich,3,"1, 2",54,32,50,-,-,52,44,38,-,-,"1,080","1,120","1,120",-,-,"277,070","277,085","283,573","288,432","288,432",95.8,95.8,95.8,95.8,95.8,91.85,91.85,91.85,91.85,91.85
Ocean,Eagleswood,9,2,1,4,5,-,-,1,1,4,-,-,"1,200","1,346","1,142",-,-,"250,008","261,140","258,202","245,632","245,632",81.71,81.71,81.71,81.71,81.71,86.15,86.15,86.15,86.15,86.15
Ocean,Harvey Cedars,9,2,9,10,21,-,-,6,6,13,-,-,"1,188","1,188","1,250",-,-,"1,021,266","1,019,851","1,041,193","1,019,464","1,019,464",13.92,13.92,13.92,13.92,13.92,91.12,91.12,91.12,91.12,91.12
Ocean,Beachwood,9,3,15,7,5,-,-,9,11,6,-,-,"1,539","1,572","1,585",-,-,"224,170","222,697","222,223","219,778","219,778",96.24,96.24,96.24,96.24,96.24,87.94,87.94,87.94,87.94,87.94
Ocean,Brick,10,3,101,167,142,-,-,22,80,125,-,-,"1,232","1,272","1,260",-,-,"299,180","297,279","300,629","305,700","305,700",88.61,88.61,88.61,88.61,88.61,83.32,83.32,83.32,83.32,83.32
Gloucester,Mantua,5,2,0,0,0,-,-,0,0,0,-,-,"1,186","1,039","1,045",-,-,"209,003","210,818","208,609","213,350","213,350",95.64,95.64,95.64,95.64,95.64,90.35,90.35,90.35,90.35,90.35
Essex,Orange,34,10,152,155,84,-,-,18,4,9,-,-,"1,010","1,039","1,044",-,-,"210,964","191,127","194,693","198,738","198,738",91.65,91.65,91.65,91.65,91.65,25.06,25.06,25.06,25.06,25.06
Middlesex,Dunellen,22,12,14,3,4,-,-,3,3,1,-,-,"1,233","1,275","1,261",-,-,"242,969","249,211","260,782","267,200","267,200",95.64,95.64,95.64,95.64,95.64,64.34,64.34,64.34,64.34,64.34
Middlesex,Cranbury,14,12,1,2,1,-,-,1,1,1,-,-,"1,085","1,033","1,098",-,-,"613,502","570,298","603,752","576,203","576,203",96.28,96.28,96.28,96.28,96.28,84.85,84.85,84.85,84.85,84.85
Mercer,West Windsor,15,12,35,28,2,-,-,255,50,42,-,-,"1,716","1,748","1,771",-,-,"537,681","562,439","565,306","578,473","578,473",96.32,96.32,96.32,96.32,96.32,75.43,75.43,75.43,75.43,75.43
Gloucester,Deptford,5,1,40,52,83,-,-,29,38,43,-,-,"1,068","1,044","1,115",-,-,"175,609","177,090","172,341","178,442","178,442",94.56,94.56,94.56,94.56,94.56,76.47,76.47,76.47,76.47,76.47
Essex,West Orange,27,"10, 11",13,11,14,-,-,12,11,25,-,-,"1,356","1,361","1,369",-,-,"347,726","347,053","359,868","365,458","365,458",95.33,95.33,95.33,95.33,95.33,69.67,69.67,69.67,69.67,69.67
Mercer,Robbinsville,14,4,29,53,104,-,-,26,41,53,-,-,"1,425","1,430","1,513",-,-,"372,127","366,176","378,647","383,387","383,387",96.4,96.4,96.4,96.4,96.4,89.72,89.72,89.72,89.72,89.72
Essex,West Caldwell,26,11,25,10,2,-,-,12,27,12,-,-,"1,764","1,693","1,719",-,-,"435,281","421,318","444,386","465,352","465,352",97.61,97.61,97.61,97.61,97.61,86.74,86.74,86.74,86.74,86.74
