County  ,Municipality  ,LD  ,CD  ,% Pop Change 2013,% Pop Change 2014,% Pop Change 2015,% Pop Change 2016,% Pop Change 2017,25+ 2013,25+ 2014,25+ 2015,25+ 2016,25+ 2017,% College Grad 2013,% College Grad 2014,% College Grad 2015,% College Grad 2016,% College Grad 2017,% Foreign Born 2013,% Foreign Born 2014,% Foreign Born 2015,% Foreign Born 2016,% Foreign Born 2017,% AA 2013,% AA 2014,% AA 2015,% AA 2016,% AA 2017,% Asian 2013,,2015,2016,2017,% Hisp 2013,2014,2015,2016,2017
Essex,Newark,"28, 29","8, 10",0.46,1.24,1.73,1.67,2.89,"174,162","25,411","176,665",-,-,12.75,66.99,13.33,-,-,27.2,15.11,29.02,-,-,52.35,52.35,52.35,52.35,52.35,1.62,1.62,1.62,1.62,1.62,33.83,33.83,33.83,33.83,33.83
Bergen,Wallington,36,9,1.85,2.57,3.36,3.12,3.93,"8,525","8,638","8,729",-,-,24.02,24.92,26.43,-,-,47.34,47.28,43.96,-,-,3.23,3.23,3.23,3.23,3.23,5.57,5.57,5.57,5.57,5.57,10.81,10.81,10.81,10.81,10.81
Bergen,Rockleigh,37,5,0.75,1.13,0.38,0.38,0.56,375,409,464,-,-,37.6,34.47,30.39,-,-,16.73,15.75,18.23,-,-,2.07,2.07,2.07,2.07,2.07,1.51,1.51,1.51,1.51,1.51,3.77,3.77,3.77,3.77,3.77
Monmouth,Farmingdale,30,4,-1.35,-2.33,-1.73,-2.71,-2.33,916,959,981,-,-,32.1,32.33,31.7,-,-,6.44,7.52,9.34,-,-,2.86,2.86,2.86,2.86,2.86,3.16,3.16,3.16,3.16,3.16,6.92,6.92,6.92,6.92,6.92
Bergen,Saddle River,39,5,1.46,1.84,3.27,2.7,3.49,"2,317","2,228","2,444",-,-,51.01,53.77,56.63,-,-,25.13,30.79,22.7,-,-,2.09,2.09,2.09,2.09,2.09,9.42,9.42,9.42,9.42,9.42,5.14,5.14,5.14,5.14,5.14
Monmouth,Englishtown,12,4,5.47,6.23,5.85,4.93,5.2,"1,270","1,403","1,500",-,-,24.8,26.02,26.53,-,-,10.61,11.19,14.55,-,-,2.6,2.6,2.6,2.6,2.6,6.82,6.82,6.82,6.82,6.82,8.01,8.01,8.01,8.01,8.01
Burlington,Evesham,8,3,0.23,0.16,0.09,-0.41,-0.34,"31,496","31,858","32,083",-,-,45.82,47.12,46.8,-,-,8.03,7.83,8.07,-,-,4.19,4.19,4.19,4.19,4.19,6.16,6.16,6.16,6.16,6.16,3.39,3.39,3.39,3.39,3.39
Monmouth,Highlands,13,6,-0.9,-1.58,-2.76,-3.62,-3.68,"3,927","3,898","4,004",-,-,42.2,41.97,36.19,-,-,8.24,7.62,9.22,-,-,1.62,1.62,1.62,1.62,1.62,1.3,1.3,1.3,1.3,1.3,6.47,6.47,6.47,6.47,6.47
Essex,Livingston,27,11,0.78,1.92,1.64,1.48,2.64,"20,281","35,705","20,523",-,-,68.11,13.21,67.22,-,-,22.98,31.71,22.88,-,-,2.26,2.26,2.26,2.26,2.26,19.21,19.21,19.21,19.21,19.21,4.06,4.06,4.06,4.06,4.06
Essex,Glen Ridge,28,10,1.28,2.05,1.77,1.53,2.35,"4,685","5,330","4,692",-,-,75.82,36.02,72.46,-,-,11.16,11.52,11.52,-,-,5.04,5.04,5.04,5.04,5.04,4.65,4.65,4.65,4.65,4.65,5.01,5.01,5.01,5.01,5.01
Monmouth,Freehold Twp,11,4,-0.33,-1.03,-1.04,-1.55,-3.13,"25,303","25,281","25,094",-,-,44.86,45.04,44.22,-,-,13.06,13.07,12.04,-,-,5.34,5.34,5.34,5.34,5.34,7.03,7.03,7.03,7.03,7.03,7.76,7.76,7.76,7.76,7.76
Burlington,Delran,7,3,-0.34,-0.72,-0.76,-1.42,-1.62,"11,884","11,724","11,812",-,-,34.44,38.42,39.76,-,-,16.15,15.31,13.54,-,-,9.56,9.56,9.56,9.56,9.56,4.04,4.04,4.04,4.04,4.04,4.61,4.61,4.61,4.61,4.61
Burlington,Burlington,7,3,-0.71,-1.22,-1.13,-0.54,-0.89,"6,858","6,799","6,725",-,-,19.82,18.5,18.97,-,-,8.84,9.2,9.36,-,-,32.98,32.98,32.98,32.98,32.98,2.03,2.03,2.03,2.03,2.03,6.5,6.5,6.5,6.5,6.5
Monmouth,Interlaken,11,6,0,-0.37,-1.46,-2.32,-2.32,696,652,638,-,-,68.39,65.49,66.3,-,-,4.22,4.6,4.91,-,-,0,0,0,0,0,0.49,0.49,0.49,0.49,0.49,1.71,1.71,1.71,1.71,1.71
